,label,score
health effects of cigarettes,Neutral,0.4095350205898285
health impact,Neutral,0.3814793825149536
health effects of e-cigarettes,Neutral,0.39723315834999084
health effects of vapes,Neutral,0.42441070079803467
impact on lungs,Neutral,0.3908350467681885
impact on heart,Neutral,0.38269302248954773
cigarettes,Neutral,0.41824668645858765
e-cigarettes,Neutral,0.4023255407810211
