,label,score
health effects of cigarettes,Neutral,0.5320936441421509
health impact,Neutral,0.5317354798316956
health effects of e-cigarettes,Neutral,0.5468869805335999
health effects of vapes,Neutral,0.5640691518783569
impact on lungs,Neutral,0.5350630879402161
impact on heart,Neutral,0.5377129316329956
cigarettes,Neutral,0.5287282466888428
e-cigarettes,Neutral,0.5540966987609863

