,label,score
health effects of cigarettes,Negative,0.42925435304641724
health impact,Negative,0.4245816767215729
health effects of e-cigarettes,Negative,0.418934166431427
health effects of vapes,Negative,0.40423640608787537
impact on lungs,Negative,0.4219016134738922
impact on heart,Negative,0.43162447214126587
cigarettes,Negative,0.41276422142982483
e-cigarettes,Negative,0.4313735067844391
